ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.9445342081960534	71.008	14.492871690427698	43.30957230142566	31.965376782077392	0.16571194286938287	25	626	167	44.0	184.0	135.0	12	2.0	2.0	1.0	114	0	0.15997576713562012	13000	8.15059781074524	
0.5931821259716321	75.716	15.518518518518519	49.458847736625515	36.50205761316872	0.16571194286938287	26	641	185	53.0	216.0	164.0	4	2.0	2.0	1.0	115	0	0.17622733116149902	13500	8.326825141906738	
0.5992592743523543	84.566	16.65546218487395	56.28991596638655	41.53361344537815	0.16571194286938287	27	666	259	82.0	303.0	227.0	7	2.0	2.0	1.0	117	0	0.19246387481689453	14000	8.519289016723633	
0.7585024295565697	89.244	16.94877049180328	58.69467213114754	43.20696721311475	0.16571194286938287	28	679	257	62.0	255.0	194.0	12	2.0	2.0	1.0	120	0	0.20103740692138672	14500	8.72032642364502	
2.0817543757522847e+18	95.874	17.495884773662553	63.47942386831276	46.650205761316876	0.16571194286938287	29	694	271	58.0	318.0	231.0	5	2.0	2.0	1.0	121	0	0.21409869194030762	15000	8.934425115585327	
3.0693565198450963	107.846	19.159274193548388	74.22379032258064	54.377016129032256	0.16571194286938287	30	699	259	54.0	270.0	197.0	9	2.0	2.0	1.0	121	0	0.24181413650512695	15500	9.176239252090454	
0.9240692933047445	112.5	20.57172131147541	80.29713114754098	58.98155737704918	0.16571194286938287	31	712	298	58.0	352.0	257.0	9	2.0	2.0	1.0	124	0	0.25652480125427246	16000	9.432764053344727	
33.16464791182123	110.9	19.810590631364562	74.22810590631364	54.462321792260695	0.16571194286938287	32	721	340	70.0	422.0	297.0	9	2.0	2.0	1.0	129	0	0.2460160255432129	16500	9.67878007888794	
0.8839882011500358	116.03	21.55122950819672	84.87704918032787	62.44877049180328	0.16565480154430534	33	734	335	65.0	403.0	289.0	13	2.0	2.0	1.0	132	0	0.27495908737182617	17000	9.953739166259766	
0.8090347612545585	121.884	21.516393442622952	89.24180327868852	65.47950819672131	0.16565480154430534	34	746	392	67.0	471.0	335.0	9	2.0	2.0	1.0	139	0	0.28137826919555664	17500	10.235117435455322	
1.0901830626808692e+52	120.234	21.724489795918366	85.64081632653061	62.881632653061224	0.16501314683466936	35	757	368	75.0	454.0	327.0	15	2.0	2.0	1.0	140	0	0.27001953125	18000	10.505136966705322	
0.7517528850789716	126.308	22.35318275154004	91.97330595482546	67.48049281314168	0.16446180373791466	36	771	396	71.0	437.0	314.0	6	2.0	2.0	1.0	144	0	0.28589844703674316	18500	10.791035413742065	
0.5556523574512872	130.69	22.3640081799591	95.20449897750511	69.76482617586912	0.16445761817634102	37	783	433	85.0	598.0	430.0	11	2.0	2.0	1.0	147	0	0.2987072467803955	19000	11.089742660522461	
