ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.6874830723296206	114.586	19.42479674796748	74.3678861788618	55.20528455284553	0.18472851311815447	35	774	338	61.0	383.0	282.0	18	2.0	2.0	1.0	0	0	0.13457322120666504	18000	2.615846633911133	
0.6433782085105006	123.392	20.388548057259715	80.33128834355828	59.77096114519427	0.18472851311815447	36	786	398	67.0	417.0	312.0	15	2.0	2.0	1.0	0	0	0.1475517749786377	18500	2.7633984088897705	
inf	126.232	20.926680244399186	82.79226069246435	61.73116089613035	0.18472851311815447	37	795	431	66.0	536.0	408.0	16	2.0	2.0	1.0	0	0	0.15199875831604004	19000	2.9153971672058105	
0.683759899916285	132.998	23.091093117408906	91.2085020242915	68.12348178137651	0.18472851311815447	38	802	400	71.0	446.0	328.0	23	2.0	2.0	1.0	0	0	0.16727924346923828	19500	3.082676410675049	
inf	145.446	24.59128630705394	101.50829875518673	75.85477178423237	0.18472851311815447	39	821	427	72.0	437.0	323.0	23	2.0	2.0	1.0	0	0	0.18185949325561523	20000	3.264535903930664	
0.7581673714224081	144.684	24.365503080082135	99.13141683778234	74.10266940451746	0.18472851311815447	40	835	516	90.0	631.0	473.0	20	2.0	2.0	1.0	0	0	0.17765593528747559	20500	3.4421918392181396	
0.39174432771380635	147.52	24.855967078189302	103.26131687242798	77.24691358024691	0.18472851311815447	41	850	636	71.0	586.0	426.0	12	2.0	2.0	1.0	0	0	0.1848459243774414	21000	3.627037763595581	
0.5101795770295873	155.204	24.989775051124745	106.01840490797547	79.0961145194274	0.18472851311815447	42	862	514	79.0	703.0	510.0	23	2.0	2.0	1.0	0	0	0.18843460083007812	21500	3.815472364425659	
1.0188077383708	164.36	25.175757575757576	110.48282828282828	82.24848484848485	0.18472851311815447	43	867	545	71.0	631.0	464.0	12	2.0	2.0	1.0	0	0	0.19368529319763184	22000	4.009157657623291	
0.7079246874387395	161.71	23.482758620689655	98.49290060851926	73.54361054766734	0.18472851311815447	44	875	500	65.0	534.0	394.0	14	2.0	2.0	1.0	0	0	0.17674732208251953	22500	4.1859049797058105	
1.2440558577272767	165.284	23.599597585513077	101.69215291750503	75.95975855130784	0.18472851311815447	45	879	500	84.0	505.0	375.0	17	2.0	2.0	1.0	0	0	0.18108320236206055	23000	4.366988182067871	
1.1667581798739053	163.198	23.728915662650603	102.19678714859438	76.23493975903614	0.18472851311815447	46	882	513	84.0	474.0	348.0	17	2.0	2.0	1.0	0	0	0.180433988571167	23500	4.547422170639038	
0.435641563282856	170.528	25.493927125506072	114.82388663967612	85.71255060728745	0.18472851311815447	47	889	516	85.0	541.0	404.0	23	2.0	2.0	1.0	0	0	0.2015533447265625	24000	4.748975515365601	
17998100107.55786	176.832	26.28305785123967	125.01859504132231	93.01859504132231	0.18472851311815447	48	906	528	85.0	626.0	464.0	19	2.0	2.0	1.0	0	0	0.21169805526733398	24500	4.960673570632935	
505.49496864788233	179.996	25.510121457489877	117.0748987854251	87.1842105263158	0.18472851311815447	49	913	605	85.0	685.0	504.0	17	2.0	2.0	1.0	0	0	0.20307302474975586	25000	5.16374659538269	
0.5199904247437491	187.48	26.448979591836736	129.34081632653061	96.09387755102041	0.18472851311815447	50	924	608	84.0	798.0	586.0	17	2.0	2.0	1.0	0	0	0.22095012664794922	25500	5.38469672203064	
inf	26.538	6.504	24.954	17.858	0.202874134047679	50	924	153	10	147	102	3	3	3	2	0	0	0.3367879390716553	25500	5.721484661102295	
inf	24.02	7.931818181818182	18.335227272727273	13.085227272727273	0.202874134047679	1	1073	152	28.0	111.0	77.0	2	2.0	2.0	1.0	0	0	0.039160966873168945	1000	5.760645627975464	
1.5457325891147463e+41	22.934	6.9170616113744074	14.40521327014218	10.336492890995261	0.20244767742753975	2	1152	111	19.0	81.0	58.0	2	2.0	2.0	1.0	0	0	0.03394794464111328	1500	5.794593572616577	
inf	22.878	6.8136363636363635	12.815909090909091	9.368181818181819	0.18631402702787178	3	1213	86	19.0	63.0	46.0	2	2.0	2.0	1.0	0	0	0.0337824821472168	2000	5.828376054763794	
inf	24.322	6.991489361702127	12.651063829787233	9.282978723404256	0.18631402702787178	4	1244	78	21.0	64.0	47.0	3	2.0	2.0	1.0	0	0	0.03363752365112305	2500	5.862013578414917	
inf	25.516	6.728215767634855	11.369294605809129	8.41286307053942	0.18631402702787178	5	1263	78	18.0	53.0	37.0	4	2.0	2.0	1.0	0	0	0.03198862075805664	3000	5.894002199172974	
inf	25.488	6.8879668049792535	11.394190871369295	8.462655601659751	0.18631402702787178	6	1282	72	20.0	43.0	30.0	4	2.0	2.0	1.0	0	0	0.032367706298828125	3500	5.926369905471802	
inf	25.568	6.802061855670103	11.301030927835052	8.37319587628866	0.18631402702787178	7	1298	78	21.0	53.0	42.0	4	2.0	2.0	1.0	0	0	0.031668901443481445	4000	5.958038806915283	
2.768700790309346e+16	26.554	6.888421052631579	11.427368421052632	8.517894736842106	0.18631402702787178	8	1324	71	21.0	53.0	40.0	3	2.0	2.0	1.0	0	0	0.03262591361999512	4500	5.990664720535278	
inf	26.476	7.01875	12.05625	8.95	0.18631402702787178	9	1345	74	23.0	55.0	43.0	3	2.0	2.0	1.0	0	0	0.03360891342163086	5000	6.024273633956909	
inf	26.76	7.2309322033898304	12.527542372881356	9.294491525423728	0.18631402702787178	10	1374	69	28.0	79.0	55.0	4	2.0	2.0	1.0	0	0	0.03454279899597168	5500	6.058816432952881	
inf	27.88	7.302521008403361	12.390756302521009	9.241596638655462	0.18631402702787178	11	1399	70	24.0	70.0	53.0	4	2.0	2.0	1.0	0	0	0.05791831016540527	6000	6.116734743118286	
inf	28.64	7.378661087866109	12.543933054393305	9.384937238493723	0.18555279835058713	12	1422	75	24.0	60.0	41.0	3	2.0	2.0	1.0	0	0	0.034357309341430664	6500	6.151092052459717	
508894986856.7308	31.442	7.975103734439834	13.908713692946058	10.464730290456432	0.18555279835058713	13	1441	88	24.0	65.0	50.0	6	2.0	2.0	1.0	0	0	0.03719735145568848	7000	6.188289403915405	
878.1770017911149	32.572	8.057731958762886	14.569072164948453	10.94020618556701	0.18409138260570002	14	1457	92	27.0	86.0	66.0	7	2.0	2.0	1.0	0	0	0.03837776184082031	7500	6.226667165756226	
3.3958597549585816	35.368	8.640243902439025	16.420731707317074	12.323170731707316	0.18409138260570002	15	1466	93	31.0	86.0	66.0	6	2.0	2.0	1.0	0	0	0.041352033615112305	8000	6.268019199371338	
1.9455620234793534	36.458	9.232365145228215	17.904564315352697	13.429460580912863	0.18409138260570002	16	1485	89	31.0	84.0	64.0	10	2.0	2.0	1.0	0	0	0.04355955123901367	8500	6.311578750610352	
inf	37.836	9.804573804573804	19.395010395010395	14.665280665280665	0.18409138260570002	17	1505	118	30.0	101.0	73.0	9	2.0	2.0	1.0	0	0	0.047179222106933594	9000	6.358757972717285	
inf	37.682	9.401234567901234	18.438271604938272	13.901234567901234	0.18409138260570002	18	1520	119	35.0	111.0	83.0	2	2.0	2.0	1.0	0	0	0.04472160339355469	9500	6.40347957611084	
